千代田,7010
中央,20937
港,32349
新宿,46625
文京,21856
台東,21622
墨田,27527
江東,51890
品川,44653
目黒,32956
大田,75652
世田谷,97955
渋谷,30007
中野,38188
杉並,55350
豊島,32745
北,36520
荒川,23057
板橋,57416
練馬,71253
足立,69393
葛飾,47752
江戸川,75590
八王子,44047
立川,14137
武蔵野,12521
三鷹,15711
青梅,7764
府中,21283
昭島,9184
調布,19722
町田,30938
小金井,9432
小平,14095
日野,14342
東村山,9957
国分寺,10128
国立,5303
福生,4451
狛江,7022
東大和,5787
清瀬,4498
東久留米,8516
武蔵村山,5822
多摩,9577
稲城,7342
羽村,3882
あきる野,5246
西東京,17111
瑞穂,2170
日の出,1222
檜原,70
奥多摩,186
大島,208
利島,1
新島,31
神津島,71
三宅,18
御蔵島,13
八丈,122
青ヶ島,0
小笠原,64
都外,109142
調査中,1125
