千代田,15251
中央,41809
港,62594
新宿,87454
文京,49531
台東,46002
墨田,61064
江東,117610
品川,94371
目黒,65936
大田,160862
世田谷,206184
渋谷,56605
中野,77047
杉並,117010
豊島,66078
北,75480
荒川,49448
板橋,120571
練馬,149889
足立,146330
葛飾,97346
江戸川,156271
八王子,94927
立川,33066
武蔵野,28091
三鷹,35154
青梅,18451
府中,47550
昭島,20329
調布,46001
町田,71553
小金井,22696
小平,33309
日野,31969
東村山,22362
国分寺,22435
国立,12641
福生,9546
狛江,15631
東大和,14284
清瀬,11071
東久留米,19041
武蔵村山,13227
多摩,22835
稲城,16312
羽村,9003
あきる野,12594
西東京,38447
瑞穂,4856
日の出,2605
檜原,172
奥多摩,537
大島,1130
利島,31
新島,193
神津島,349
三宅,259
御蔵島,62
八丈,676
青ヶ島,7
小笠原,366
都外,276031
調査中,2094
