千代田,12878
中央,34963
港,54182
新宿,75082
文京,41400
台東,38178
墨田,50417
江東,97162
品川,79605
目黒,56191
大田,134186
世田谷,172883
渋谷,49076
中野,65115
杉並,96758
豊島,56283
北,62416
荒川,41643
板橋,99243
練馬,122910
足立,119212
葛飾,79401
江戸川,129442
八王子,75036
立川,26068
武蔵野,22632
三鷹,28738
青梅,13966
府中,38141
昭島,16213
調布,36908
町田,56777
小金井,17914
小平,25498
日野,25601
東村山,17721
国分寺,17852
国立,9894
福生,7576
狛江,12605
東大和,11054
清瀬,8410
東久留米,15005
武蔵村山,10269
多摩,17952
稲城,12997
羽村,6804
あきる野,9681
西東京,30406
瑞穂,3761
日の出,2023
檜原,137
奥多摩,383
大島,773
利島,28
新島,146
神津島,241
三宅,148
御蔵島,50
八丈,414
青ヶ島,4
小笠原,318
都外,194913
調査中,1842
