千代田,14201
中央,38676
港,58615
新宿,81607
文京,45612
台東,42509
墨田,56272
江東,108313
品川,87504
目黒,61058
大田,148324
世田谷,189493
渋谷,53129
中野,71420
杉並,107476
豊島,61446
北,69888
荒川,45945
板橋,110711
練馬,136675
足立,133482
葛飾,88416
江戸川,144030
八王子,84851
立川,29542
武蔵野,25286
三鷹,32072
青梅,16371
府中,43089
昭島,18368
調布,41600
町田,64541
小金井,20268
小平,29245
日野,28900
東村山,20327
国分寺,19990
国立,11297
福生,8643
狛江,14065
東大和,12746
清瀬,9873
東久留米,16984
武蔵村山,11730
多摩,20591
稲城,14725
羽村,7949
あきる野,11210
西東京,34419
瑞穂,4350
日の出,2341
檜原,155
奥多摩,484
大島,1001
利島,29
新島,170
神津島,299
三宅,175
御蔵島,56
八丈,524
青ヶ島,5
小笠原,343
都外,255075
調査中,1999
