千代田,14152
中央,38463
港,58369
新宿,81258
文京,45388
台東,42257
墨田,55946
江東,107726
品川,87071
目黒,60798
大田,147640
世田谷,188712
渋谷,52918
中野,71048
杉並,106807
豊島,61169
北,69478
荒川,45703
板橋,110019
練馬,135961
足立,132781
葛飾,87946
江戸川,143254
八王子,84259
立川,29345
武蔵野,25150
三鷹,31921
青梅,16234
府中,42827
昭島,18264
調布,41395
町田,64105
小金井,20131
小平,29041
日野,28736
東村山,20226
国分寺,19860
国立,11225
福生,8580
狛江,13985
東大和,12643
清瀬,9815
東久留米,16902
武蔵村山,11664
多摩,20486
稲城,14593
羽村,7874
あきる野,11115
西東京,34233
瑞穂,4308
日の出,2321
檜原,150
奥多摩,481
大島,983
利島,29
新島,167
神津島,297
三宅,172
御蔵島,56
八丈,514
青ヶ島,5
小笠原,342
都外,252076
調査中,1990
