千代田,1818
中央,5568
港,9846
新宿,17592
文京,5187
台東,6422
墨田,7074
江東,12989
品川,11309
目黒,10072
大田,18982
世田谷,27423
渋谷,9735
中野,11864
杉並,15364
豊島,10488
北,9191
荒川,5617
板橋,14290
練馬,17137
足立,17300
葛飾,12100
江戸川,17818
八王子,9564
立川,3197
武蔵野,3088
三鷹,3671
青梅,1641
府中,4283
昭島,1816
調布,4539
町田,6905
小金井,2089
小平,2890
日野,2763
東村山,2090
国分寺,2052
国立,1094
福生,1115
狛江,1433
東大和,1183
清瀬,1013
東久留米,1811
武蔵村山,1046
多摩,2072
稲城,1465
羽村,811
あきる野,1108
西東京,4000
瑞穂,405
日の出,158
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,28206
調査中,191
