千代田,1808
中央,5538
港,9805
新宿,17491
文京,5159
台東,6384
墨田,7042
江東,12920
品川,11143
目黒,10030
大田,18906
世田谷,27301
渋谷,9673
中野,11817
杉並,15300
豊島,10421
北,9100
荒川,5590
板橋,14186
練馬,17016
足立,17155
葛飾,12021
江戸川,17675
八王子,9466
立川,3185
武蔵野,3066
三鷹,3654
青梅,1622
府中,4245
昭島,1792
調布,4514
町田,6852
小金井,2081
小平,2873
日野,2743
東村山,2072
国分寺,2039
国立,1087
福生,1098
狛江,1427
東大和,1165
清瀬,1001
東久留米,1801
武蔵村山,1033
多摩,2058
稲城,1457
羽村,795
あきる野,1097
西東京,3974
瑞穂,400
日の出,156
檜原,12
奥多摩,54
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,27943
調査中,190
