千代田,1723
中央,5376
港,9599
新宿,16801
文京,4986
台東,6154
墨田,6795
江東,12458
品川,10522
目黒,9688
大田,18087
世田谷,26295
渋谷,9369
中野,11445
杉並,14778
豊島,9930
北,8653
荒川,5398
板橋,13589
練馬,16332
足立,16264
葛飾,11472
江戸川,16860
八王子,8976
立川,3051
武蔵野,2948
三鷹,3493
青梅,1506
府中,3987
昭島,1702
調布,4365
町田,6518
小金井,1997
小平,2735
日野,2629
東村山,1954
国分寺,1948
国立,1046
福生,997
狛江,1394
東大和,1092
清瀬,946
東久留米,1688
武蔵村山,994
多摩,1988
稲城,1383
羽村,730
あきる野,1030
西東京,3824
瑞穂,375
日の出,153
檜原,12
奥多摩,52
大島,66
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,26334
調査中,197
