千代田,1716
中央,5356
港,9571
新宿,16713
文京,4963
台東,6115
墨田,6747
江東,12371
品川,10442
目黒,9615
大田,17922
世田谷,26150
渋谷,9340
中野,11352
杉並,14691
豊島,9859
北,8582
荒川,5368
板橋,13488
練馬,16207
足立,16175
葛飾,11402
江戸川,16735
八王子,8896
立川,3029
武蔵野,2934
三鷹,3470
青梅,1493
府中,3965
昭島,1685
調布,4334
町田,6457
小金井,1988
小平,2715
日野,2618
東村山,1942
国分寺,1932
国立,1038
福生,989
狛江,1382
東大和,1086
清瀬,936
東久留米,1672
武蔵村山,990
多摩,1974
稲城,1369
羽村,722
あきる野,1023
西東京,3793
瑞穂,375
日の出,153
檜原,12
奥多摩,52
大島,66
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,26158
調査中,194
