千代田,1775
中央,5496
港,9743
新宿,17272
文京,5111
台東,6329
墨田,6960
江東,12816
品川,10991
目黒,9954
大田,18691
世田谷,27043
渋谷,9596
中野,11718
杉並,15179
豊島,10286
北,8983
荒川,5545
板橋,14030
練馬,16851
足立,16914
葛飾,11830
江戸川,17472
八王子,9353
立川,3137
武蔵野,3028
三鷹,3620
青梅,1586
府中,4172
昭島,1757
調布,4486
町田,6767
小金井,2056
小平,2839
日野,2710
東村山,2037
国分寺,2011
国立,1072
福生,1052
狛江,1420
東大和,1146
清瀬,986
東久留米,1777
武蔵村山,1016
多摩,2035
稲城,1433
羽村,773
あきる野,1073
西東京,3932
瑞穂,385
日の出,154
檜原,12
奥多摩,54
大島,67
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,27505
調査中,189
