千代田,1825
中央,5585
港,9888
新宿,17658
文京,5204
台東,6452
墨田,7101
江東,13045
品川,11371
目黒,10104
大田,19053
世田谷,27503
渋谷,9767
中野,11909
杉並,15405
豊島,10521
北,9241
荒川,5659
板橋,14359
練馬,17211
足立,17425
葛飾,12194
江戸川,17977
八王子,9630
立川,3212
武蔵野,3108
三鷹,3681
青梅,1655
府中,4306
昭島,1835
調布,4559
町田,6950
小金井,2098
小平,2901
日野,2777
東村山,2099
国分寺,2058
国立,1101
福生,1131
狛江,1439
東大和,1192
清瀬,1025
東久留米,1813
武蔵村山,1052
多摩,2079
稲城,1473
羽村,817
あきる野,1117
西東京,4015
瑞穂,409
日の出,159
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,28403
調査中,183
