千代田,1823
中央,5577
港,9875
新宿,17635
文京,5200
台東,6447
墨田,7089
江東,13025
品川,11344
目黒,10093
大田,19024
世田谷,27474
渋谷,9753
中野,11891
杉並,15389
豊島,10511
北,9220
荒川,5641
板橋,14336
練馬,17186
足立,17381
葛飾,12154
江戸川,17908
八王子,9608
立川,3206
武蔵野,3102
三鷹,3678
青梅,1647
府中,4297
昭島,1829
調布,4545
町田,6933
小金井,2095
小平,2897
日野,2772
東村山,2095
国分寺,2056
国立,1100
福生,1125
狛江,1436
東大和,1187
清瀬,1022
東久留米,1812
武蔵村山,1052
多摩,2079
稲城,1471
羽村,815
あきる野,1112
西東京,4011
瑞穂,408
日の出,158
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,28327
調査中,182
