千代田,1813
中央,5548
港,9817
新宿,17524
文京,5172
台東,6407
墨田,7053
江東,12953
品川,11247
目黒,10046
大田,18928
世田谷,27341
渋谷,9689
中野,11829
杉並,15319
豊島,10437
北,9133
荒川,5596
板橋,14219
練馬,17060
足立,17204
葛飾,12038
江戸川,17713
八王子,9500
立川,3189
武蔵野,3075
三鷹,3660
青梅,1629
府中,4260
昭島,1798
調布,4523
町田,6862
小金井,2084
小平,2879
日野,2750
東村山,2081
国分寺,2045
国立,1090
福生,1104
狛江,1427
東大和,1170
清瀬,1003
東久留米,1803
武蔵村山,1039
多摩,2060
稲城,1459
羽村,800
あきる野,1101
西東京,3983
瑞穂,402
日の出,157
檜原,12
奥多摩,54
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,28020
調査中,190
