千代田,6226
中央,18768
港,29256
新宿,43011
文京,19514
台東,19567
墨田,24999
江東,46536
品川,40131
目黒,29938
大田,68874
世田谷,88221
渋谷,27309
中野,34900
杉並,50150
豊島,29738
北,32582
荒川,20979
板橋,52216
練馬,64442
足立,62588
葛飾,43654
江戸川,69189
八王子,40260
立川,12867
武蔵野,11276
三鷹,14299
青梅,6908
府中,19216
昭島,8129
調布,17630
町田,27795
小金井,8482
小平,12375
日野,13120
東村山,8952
国分寺,8974
国立,4691
福生,4013
狛江,6306
東大和,5237
清瀬,4019
東久留米,7490
武蔵村山,5329
多摩,8703
稲城,6546
羽村,3419
あきる野,4539
西東京,15440
瑞穂,1921
日の出,1096
檜原,66
奥多摩,173
大島,197
利島,1
新島,25
神津島,51
三宅,17
御蔵島,12
八丈,119
青ヶ島,0
小笠原,22
都外,97222
調査中,1071
