千代田,1839
中央,5633
港,9923
新宿,17743
文京,5237
台東,6510
墨田,7141
江東,13130
品川,11461
目黒,10150
大田,19154
世田谷,27640
渋谷,9819
中野,11972
杉並,15464
豊島,10604
北,9307
荒川,5692
板橋,14442
練馬,17338
足立,17570
葛飾,12319
江戸川,18147
八王子,9684
立川,3233
武蔵野,3119
三鷹,3702
青梅,1664
府中,4323
昭島,1855
調布,4582
町田,7009
小金井,2111
小平,2923
日野,2805
東村山,2113
国分寺,2070
国立,1103
福生,1139
狛江,1445
東大和,1199
清瀬,1033
東久留米,1824
武蔵村山,1056
多摩,2094
稲城,1484
羽村,842
あきる野,1132
西東京,4060
瑞穂,410
日の出,165
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,16
青ヶ島,0
小笠原,12
都外,28725
調査中,183
