千代田,1854
中央,5680
港,10031
新宿,18489
文京,5326
台東,6563
墨田,7253
江東,13211
品川,12051
目黒,10244
大田,19403
世田谷,27874
渋谷,9899
中野,12074
杉並,15579
豊島,10719
北,9460
荒川,5730
板橋,14512
練馬,17643
足立,17805
葛飾,12396
江戸川,18265
八王子,9841
立川,3250
武蔵野,3165
三鷹,3732
青梅,1668
府中,4371
昭島,1858
調布,4614
町田,7132
小金井,2176
小平,2942
日野,2836
東村山,2120
国分寺,2095
国立,1106
福生,1141
狛江,1467
東大和,1204
清瀬,1042
東久留米,1841
武蔵村山,1060
多摩,2112
稲城,1502
羽村,844
あきる野,1140
西東京,4087
瑞穂,412
日の出,167
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,16
青ヶ島,0
小笠原,12
都外,29347
調査中,186
